COMUNIDAD;PROVINCIA;MUNICIPIO;SUP M2;FECHA APERTURA;TIENDA;TARIFA;ROL;Nivel de surtido;CV 2022;PROG;CV 2021;PROG;CV 2020
COMUNIDAD VALENCIANA;VALENCIA;VALENCIA;197;17.10.14;PXV CALLE AVELLANAS, 14;PLUS;URB.COMERCIAL;NACIONAL5;1’258’124.80 €;15%;1’070’640.75 €;3%;1’043’004.87 €
ISLAS BALEARES;ISLAS BALEARES;PALMA DE MALLORCA;527;27.11.17;PXPM GREMI TINTORERS4;ESTANDAR;URB.RESIDENCIAL;NACIONAL4;1’256’765.79 €;1%;1’248’854.29 €;-6%;1’320’030.58 €
COMUNIDAD FORAL DE NAVARRA;NAVARRA;PAMPLONA/IRUÑA;196;05.02.21;PXNA PAMPLONA CALLE CATALUÑA, 4;PLUS;URB.RESIDENCIAL;NACIONAL6;1’251’876.22 €;20%;1’001’410.62 €;100%; -   € 
CASTILLA Y LEÓN;SALAMANCA;VITIGUDINO;290;29.05.15;PXSA VITIGUDINO;ESTANDAR;RURAL;NACIONAL4;1’249’965.88 €;16%;1’046’711.85 €;-7%;1’119’645.64 €
REGIÓN DE MURCIA;MURCIA;CARTAGENA;141;04.09.15;PXMU PUERTAS DE MURCIA, 8;PLUS;URB.COMERCIAL;NACIONAL6;1’248’575.49 €;13%;1’085’523.86 €;5%;1’029’626.39 €
ANDALUCÍA;CÁDIZ;CADIZ;233;16.12.16;PXCA  BUENOS AIRES, 9;ESTANDAR;URB.RESIDENCIAL;NACIONAL5;1’247’985.57 €;18%;1’021’118.14 €;-15%;1’173’983.07 €
CASTILLA Y LEÓN;VALLADOLID;ALDEAMAYOR DE SAN MARTIN;263;01.12.15;PXVA ALDEAMAYOR DE SAN MARTIN;ESTANDAR;RURAL;NACIONAL4;1’239’789.82 €;12%;1’085’158.50 €;-16%;1’258’312.05 €
ANDALUCÍA;SEVILLA;SEVILLA;544;19.10.21;PXSE EDUARDO DATO, 22;ESTANDAR;URB.RESIDENCIAL;NACIONAL4;1’239’342.16 €;79%;265’521.46 €;100%; -   € 
COMUNIDAD DE MADRID;MADRID;MADRID;319;04.05.19;PXM P G MARTINEZ CAMPOS3, 24;XPLUS;URB.COMERCIAL;NACIONAL4;1’231’813.90 €;6%;1’159’943.25 €;-14%;1’318’118.39 €
LA RIOJA;LA RIOJA;VILLAMEDIANA DE IREGUA;213;07.10.16;PXLO VILLAMEDIANA - HERMESINDA;PLUS;URB.RESIDENCIAL;NACIONAL5;1’231’231.81 €;-9%;1’345’707.46 €;-15%;1’542’109.42 €
CASTILLA Y LEÓN;SORIA;SAN LEONARDO DE YAGÜE;327;23.02.11;PXSO SAN LEONARDO DE YAGÜE;ESTANDAR;RURAL;NACIONAL4;1’231’144.78 €;11%;1’098’861.11 €;-5%;1’153’219.90 €
PAÍS VASCO;ÁLAVA;OYON/OION;309;20.12.13;PXVI OION ESTIBALIZ;PLUS;URB.RESIDENCIAL;NACIONAL5;1’228’338.08 €;-9%;1’339’958.85 €;-4%;1’399’144.69 €
CASTILLA Y LEÓN;LEÓN;CARRIZO;293;30.03.17;PXLE CARRIZO DE LA RIBERA;ESTANDAR;RURAL;NACIONAL5;1’225’174.25 €;13%;1’067’211.03 €;-10%;1’178’280.93 €
COMUNIDAD DE MADRID;MADRID;MADRID;139;28.05.14;PXM JUAN DE AUSTRIA, 13;ESTANDAR;URB.RESIDENCIAL;NACIONAL6;1’218’127.27 €;4%;1’170’522.05 €;-11%;1’295’739.19 €
CASTILLA Y LEÓN;ZAMORA;VEGA DE TERA;428;13.03.20;PXZA CAMARZANA DE TERA;ESTANDAR;RURAL;NACIONAL3;1’217’323.14 €;14%;1’042’454.42 €;2%;1’022’800.32 €
PAÍS VASCO;GUIPÚZCOA;TOLOSA;164;26.04.19;PXSS IBARRA EUSKAL HERRIA2, 17;PLUS;URB.RESIDENCIAL;NACIONAL6;1’215’518.39 €;3%;1’178’397.90 €;-1%;1’193’748.15 €
ANDALUCÍA;CÁDIZ;PUERTO DE SANTA MARIA (EL);296;21.05.19;PXCA AVDA. DE LA PAZ;PLUS;URB.RESIDENCIAL;NACIONAL5;1’212’368.71 €;3%;1’177’826.88 €;-7%;1’258’136.97 €
COMUNIDAD VALENCIANA;VALENCIA;VALENCIA;150;30.11.21;PXV MARQUES DE SOTELO, 4;XPLUS;URB.COMERCIAL;NACIONAL6;1’210’706.36 €;94%;68’782.03 €;100%; -   € 
CASTILLA Y LEÓN;SALAMANCA;SALAMANCA;150;29.11.19;PXSA RUA MAYOR 4;XPLUS;URB.COMERCIAL;NACIONAL5;1’210’244.38 €;48%;623’347.16 €;-31%;814’680.42 €
ARAGÓN;TERUEL;TERUEL;394;02.03.17;PXTE PASEO DEL OVALO 8;PLUS;URB.RESIDENCIAL;NACIONAL4;1’204’424.58 €;14%;1’034’242.56 €;-3%;1’062’965.25 €
ANDALUCÍA;MÁLAGA;RINCON DE LA VICTORIA;542;15.09.21;PXMA PSO DE LOS TILOS, 53;ESTANDAR;URB.RESIDENCIAL;NACIONAL4;1’186’417.14 €;72%;336’508.76 €;100%; -   € 
COMUNIDAD DE MADRID;MADRID;MADRID;509;05.05.21;PXM AVDA. BRASIL, 8;ESTANDAR;URB.COMERCIAL;NACIONAL4;1’186’333.32 €;42%;687’003.99 €;100%; -   € 
REGIÓN DE MURCIA;MURCIA;MURCIA;162;31.08.18;PXMU PLAZA SAN JULIAN;ESTANDAR;URB.COMERCIAL;NACIONAL5;1’184’561.07 €;10%;1’060’565.32 €;-1%;1’068’301.79 €
COMUNIDAD VALENCIANA;VALENCIA;CORBERA;456;11.03.21;PXV CORBERA-AV. PAIS VALENCIA;AGRESIVA;RURAL;NACIONAL4;1’184’194.22 €;28%;856’816.50 €;100%; -   € 
ANDALUCÍA;MÁLAGA;RINCON DE LA VICTORIA;366;28.04.21;PXMA VILLAFUERTE, 35;ESTANDAR;URB.RESIDENCIAL;NACIONAL5;1’183’555.21 €;38%;733’930.70 €;100%; -   € 
PAÍS VASCO;GUIPÚZCOA;ZARAUTZ;193;10.09.21;PXSS ZARAUTZ IV-ZIGORDIA KALEA;PLUS;URB.RESIDENCIAL;NACIONAL5;1’180’974.55 €;74%;307’987.02 €;100%; -   € 
ANDALUCÍA;MÁLAGA;NERJA;138;07.07.17;PXMA CASTILLA PEREZ 2;PLUS;URB.COMERCIAL;NACIONAL6;1’180’221.43 €;19%;954’347.83 €;10%;854’678.52 €
ANDALUCÍA;MÁLAGA;RINCON DE LA VICTORIA;145;05.04.17;PXMA TEJÓN Y RODRIGUEZ, 1;ESTANDAR;URB.COMERCIAL;NACIONAL7;1’178’936.13 €;-16%;1’363’203.76 €;-14%;1’551’825.45 €
ANDALUCÍA;GRANADA;GRANADA;132;19.08.16;PXGR LAS TABLAS;ESTANDAR;URB.COMERCIAL;NACIONAL6;1’178’844.95 €;14%;1’015’448.24 €;4%;972’306.77 €
CATALUÑA;GERONA;HOSPITALET DE LLOBREGAT;199;11.10.19;PXGI LLORET DE MAR - POETA LOPE MATEO;ESTANDAR;URB.RESIDENCIAL;NACIONAL5;1’175’047.39 €;22%;916’133.51 €;-6%;973’741.01 €
PAÍS VASCO;VIZCAYA;BASAURI;275;15.05.20;PXBI BASAURI - MADRID, 1;ESTANDAR;URB.RESIDENCIAL;NACIONAL5;1’173’630.88 €;20%;943’810.37 €;51%;460’201.64 €
ANDALUCÍA;SEVILLA;SEVILLA;282;25.05.21;PXSE ASUNCIÓN 17;ESTANDAR;URB.RESIDENCIAL;NACIONAL5;1’163’889.23 €;54%;530’980.76 €;100%; -   € 
COMUNIDAD DE MADRID;MADRID;SAN SEBASTIAN DE LOS REYES;320;24.03.17;PXM SS REYES - CERVANTES, 12;ESTANDAR;URB.RESIDENCIAL;NACIONAL4;1’162’861.53 €;1%;1’145’644.65 €;-22%;1’402’189.03 €
COMUNIDAD DE MADRID;MADRID;GETAFE;474;24.08.17;PXM PERALES DEL RIO - CALLE GROENLANDIA 2;ESTANDAR;URB.RESIDENCIAL;NACIONAL4;1’162’346.60 €;8%;1’070’203.09 €;-17%;1’248’102.88 €
CASTILLA LA MANCHA;TOLEDO;TOLEDO;132;05.12.18;PXTO SILLERÍA, 7;PLUS;URB.COMERCIAL;NACIONAL7;1’160’769.90 €;16%;980’456.32 €;-8%;1’057’914.37 €
CATALUÑA;BARCELONA;HOSPITALET DE LLOBREGAT (L');138;18.05.12;PXB TRAVESSERA CORTS;PLUS;URB.COMERCIAL;NACIONAL5;1’156’116.79 €;22%;902’679.88 €;-1%;915’956.35 €
GALICIA;LA CORUÑA;VEDRA;600;02.04.20;PXC PONTE ULLA;AGRESIVA;RURAL;NACIONAL4;1’153’238.07 €;-2%;1’177’907.63 €;14%;1’009’386.73 €
CASTILLA Y LEÓN;SEGOVIA;SEGOVIA;187;11.07.13;PXSG JUAN BRAVO, 54;ESTANDAR;CONVENIENCIA;NACIONAL5;1’151’428.06 €;12%;1’010’761.50 €;3%;979’710.50 €
CATALUÑA;BARCELONA;BARCELONA;202;12.04.17;PXB PABLO IGLESIAS;PLUS;URB.RESIDENCIAL;NACIONAL6;1’149’818.90 €;8%;1’053’245.50 €;-17%;1’227’981.45 €
CASTILLA Y LEÓN;LEÓN;BENAVIDES;339;19.11.14;PXLE BENAVIDES DE ORBIGO;ESTANDAR;RURAL;NACIONAL5;1’149’747.54 €;17%;958’599.12 €;-3%;985’923.67 €
EXTREMADURA;BADAJOZ;CAMPANARIO;250;20.05.16;PXBA CAMPANARIO;ESTANDAR;RURAL;NACIONAL5;1’146’771.95 €;11%;1’019’076.44 €;-7%;1’093’169.36 €
ARAGÓN;TERUEL;TERUEL;550;15.06.18;PXTE CTRA. CASTRALVO 2, 3;ESTANDAR;URB.RESIDENCIAL;NACIONAL4;1’145’994.38 €;9%;1’046’781.73 €;-10%;1’153’646.54 €
COMUNIDAD DE MADRID;MADRID;MADRID;196;08.09.17;PXM CALLE CONDE DE PEÑALVER 63;PLUS;URB.COMERCIAL;NACIONAL6;1’145’093.09 €;8%;1’048’676.75 €;-4%;1’090’253.46 €
COMUNIDAD DE MADRID;MADRID;MADRID;329;17.05.19;PXM AVDA. GUADALAJARA3;ESTANDAR;URB.RESIDENCIAL;NACIONAL4;1’144’583.35 €;-2%;1’166’774.50 €;-19%;1’386’907.84 €
PRINCIPADO DE ASTURIAS;ASTURIAS;GIJON;151;27.04.18;PXO SCHULTZ 2;PLUS;URB.RESIDENCIAL;NACIONAL6;1’143’205.57 €;10%;1’030’765.38 €;-1%;1’042’308.09 €
CATALUÑA;GERONA;HOSPITALET DE LLOBREGAT;182;02.05.11;PXGI LLORET DEL MAR;XPLUS;URB.RESIDENCIAL;NACIONAL6;1’142’534.98 €;26%;845’909.45 €;1%;834’714.46 €
COMUNIDAD DE MADRID;MADRID;MADRID;174;08.06.21;PXM DIEGO DE LEÓN, 32;PLUS;URB.RESIDENCIAL;NACIONAL6;1’135’971.90 €;52%;550’108.41 €;100%; -   € 
ANDALUCÍA;CÁDIZ;CHICLANA DE LA FRONTERA;734;24.06.21;PXCA CHICLANA AV SOLANO, 2;ESTANDAR;URB.RESIDENCIAL;NACIONAL4;1’126’413.84 €;48%;588’791.95 €;100%; -   € 
CATALUÑA;BARCELONA;BARCELONA;198;12.08.14;PXB GRAN VIA DE LES CORTS CATALANES, 573;PLUS;URB.COMERCIAL;NACIONAL6;1’121’003.81 €;33%;752’504.40 €;-7%;808’687.32 €
ANDALUCÍA;MÁLAGA;RINCON DE LA VICTORIA;336;08.06.21;PXMA TAMAYO Y BAUS, 2;ESTANDAR;URB.RESIDENCIAL;NACIONAL4;1’120’771.93 €;50%;560’297.63 €;100%; -   € 
CATALUÑA;BARCELONA;VILAFRANCA DEL PENEDES;247;15.09.17;PXB VILLAFRANCA - FERRERS, 38;PLUS;URB.RESIDENCIAL;NACIONAL5;1’120’310.67 €;11%;995’240.65 €;-9%;1’087’265.97 €
CATALUÑA;BARCELONA;BARCELONA;198;04.02.21;PXB STA MADRONA;ESTANDAR;URB.RESIDENCIAL;NACIONAL6;1’119’743.91 €;36%;719’488.66 €;100%; -   € 
COMUNIDAD DE MADRID;MADRID;ALCOBENDAS;174;26.02.19;PXM AVDA. CONSTITUCIÓN ALCOBENDAS;ESTANDAR;URB.RESIDENCIAL;NACIONAL6;1’118’046.77 €;-1%;1’124’849.51 €;-14%;1’280’420.89 €
COMUNIDAD VALENCIANA;VALENCIA;VALENCIA;205;23.12.20;PXV CALLE PAZ2 29;PLUS;URB.COMERCIAL;NACIONAL5;1’117’459.29 €;18%;919’751.37 €;98%;17’069.64 €
COMUNIDAD DE MADRID;ILOCALIZADO;ILOCALIZADO;361;12.05.21;PXM MAJADAHONDA - NAVALUENGA, 26;ESTANDAR;URB.RESIDENCIAL;NACIONAL4;1’117’160.14 €;42%;648’688.20 €;100%; -   € 
ANDALUCÍA;MÁLAGA;ESTEPONA;553;16.06.21;PXMA ESTEPONA LA PORTADA;ESTANDAR;URB.RESIDENCIAL;NACIONAL3;1’114’857.79 €;46%;605’188.00 €;100%; -   € 
COMUNIDAD VALENCIANA;VALENCIA;VALENCIA;94;18.05.18;PXV SAN MIGUEL, 3;PLUS;URB.COMERCIAL;NACIONAL7;1’114’796.63 €;22%;864’620.78 €;11%;772’384.73 €
COMUNIDAD FORAL DE NAVARRA;NAVARRA;PAMPLONA/IRUÑA;266;08.06.12;PXNA CALLE MAYOR, 49;PLUS;URB.COMERCIAL;NACIONAL5;1’109’957.09 €;-3%;1’139’050.57 €;-12%;1’273’617.87 €
ANDALUCÍA;GRANADA;GRANADA;172;18.10.17;PXGR PEDRO ANTONIO ALARCÓN;AGRESIVA;URB.RESIDENCIAL;NACIONAL6;1’109’390.01 €;13%;969’963.60 €;-15%;1’118’867.62 €
CASTILLA Y LEÓN;LEÓN;SANTA MARIA DEL PARAMO;511;28.02.20;PXLE SANTA MARÍA DEL PÁRAMO II;ESTANDAR;RURAL;NACIONAL4;1’100’468.43 €;11%;979’701.66 €;-10%;1’073’477.82 €
COMUNIDAD VALENCIANA;VALENCIA;BETERA;525;12.06.20;PXV BETERA - MAS CAMARENA;PLUS;URB.RESIDENCIAL;NACIONAL4;1’099’798.26 €;10%;991’703.61 €;44%;555’797.88 €
CASTILLA Y LEÓN;SALAMANCA;SALAMANCA;272;23.11.18;PXSA Mª AUXILIADORA2, 23;PLUS;URB.RESIDENCIAL;NACIONAL5;1’099’198.07 €;12%;967’285.73 €;-12%;1’086’351.59 €
CATALUÑA;BARCELONA;VILADECANS;228;31.10.19;PXB VILADECANS - AVDA. MOLINO, 1;ESTANDAR;URB.RESIDENCIAL;NACIONAL5;1’097’918.61 €;11%;976’086.48 €;-12%;1’092’091.46 €
EXTREMADURA;CÁCERES;PLASENCIA;277;30.03.17;PXCC AVDA. LA SALLE, 24;ESTANDAR;URB.RESIDENCIAL;NACIONAL4;1’094’289.96 €;3%;1’057’815.20 €;-4%;1’100’241.69 €
COMUNIDAD DE MADRID;MADRID;MADRID;402;28.08.20;PXM DUQUE DE SESTO II, 28;PLUS;URB.RESIDENCIAL;NACIONAL5;1’090’731.38 €;8%;1’008’127.82 €;64%;358’693.91 €
ANDALUCÍA;CÁDIZ;CADIZ;151;14.06.17;PXCA SOPRANIS, 1;ESTANDAR;CONVENIENCIA;NACIONAL7;1’087’860.25 €;8%;995’778.09 €;-10%;1’098’463.23 €
CANTABRIA;CANTABRIA;NOJA;278;07.06.13;PXS NOJA;PLUS;URB.RESIDENCIAL;NACIONAL6;1’079’625.88 €;11%;958’629.25 €;-2%;974’031.87 €
CATALUÑA;BARCELONA;BARCELONA;208;08.02.17;PXB CAPONATA, 10;PLUS;URB.RESIDENCIAL;NACIONAL5;1’077’107.27 €;8%;986’835.00 €;-6%;1’047’413.32 €
ANDALUCÍA;GRANADA;MOTRIL;243;10.06.21;PXGR MOTRIL - ANCHA, 8;ESTANDAR;URB.RESIDENCIAL;NACIONAL7;1’076’322.79 €;49%;553’168.63 €;100%; -   € 
CASTILLA Y LEÓN;LEÓN;LEON;295;22.03.17;PXLE C MIGUEL DE ZAERA2, 14;PLUS;URB.RESIDENCIAL;NACIONAL4;1’074’262.36 €;14%;920’735.64 €;-8%;996’315.89 €
ANDALUCÍA;GRANADA;IZNALLOZ;487;26.04.19;PXGR IZNALLOZ - AVDA. ANDALUCÍA;ESTANDAR;RURAL;NACIONAL6;1’072’696.62 €;10%;964’783.06 €;-8%;1’041’613.95 €
ANDALUCÍA;SEVILLA;SEVILLA;240;11.06.15;PXSE RONDA DE TRIANA, 2;PLUS;URB.RESIDENCIAL;NACIONAL5;1’070’454.21 €;12%;941’001.73 €;-22%;1’147’886.22 €
COMUNIDAD DE MADRID;MADRID;MADRID;108;29.09.17;PXM Mª DE GUZMÁN, 57;ESTANDAR;URB.RESIDENCIAL;NACIONAL7;1’067’847.49 €;-1%;1’082’577.95 €;-5%;1’138’142.63 €
COMUNIDAD DE MADRID;MADRID;MADRID;152;30.09.21;PXM CALLE OÑA, 121;ESTANDAR;URB.RESIDENCIAL;NACIONAL6;1’067’090.45 €;78%;232’867.07 €;100%; -   € 
PRINCIPADO DE ASTURIAS;ASTURIAS;GIJON;275;15.11.17;PXO PLAZA SAN MIGUEL, 5;ESTANDAR;URB.COMERCIAL;NACIONAL5;1’062’321.19 €;-6%;1’130’582.86 €;6%;1’059’721.19 €
COMUNIDAD DE MADRID;MADRID;MADRID;99;12.03.19;PXM CALLE ARCIPRESTE DE HITA 4;PLUS;URB.COMERCIAL;NACIONAL6;1’056’062.70 €;9%;961’599.10 €;28%;691’346.04 €
CASTILLA Y LEÓN;SEGOVIA;ESPINAR (EL);227;17.11.17;PXSG EL ESPINAR3;ESTANDAR;URB.RESIDENCIAL;NACIONAL5;1’055’167.45 €;9%;961’096.49 €;-15%;1’102’077.91 €
EXTREMADURA;BADAJOZ;TALAVERA LA REAL;233;08.10.15;PXBA CONCORDIA;ESTANDAR;RURAL;NACIONAL5;1’054’647.47 €;10%;952’719.57 €;-8%;1’033’288.83 €
ANDALUCÍA;CÁDIZ;CADIZ;259;07.06.19;PXCA ANA DE VIYA 3;ESTANDAR;URB.COMERCIAL;NACIONAL6;1’051’518.48 €;3%;1’017’319.45 €;-9%;1’104’660.07 €
COMUNIDAD DE MADRID;MADRID;VILLA DEL PRADO;440;30.06.21;PXM VILLA DEL PRADO - OFICIOS 2;ESTANDAR;RURAL;NACIONAL5;1’050’257.44 €;49%;534’325.54 €;100%; -   € 
COMUNIDAD DE MADRID;ILOCALIZADO;ILOCALIZADO;242;15.10.20;PXM SAN SEBASTIÁN DE LOS REYES - PLAZA DEL PROGRESO, 2;ESTANDAR;URB.RESIDENCIAL;NACIONAL5;1’050’083.24 €;11%;932’089.24 €;83%;162’008.66 €
ANDALUCÍA;MÁLAGA;RINCON DE LA VICTORIA;348;17.08.21;PXMA MARTINEZ MALDONADO, 68;ESTANDAR;URB.RESIDENCIAL;NACIONAL5;1’047’467.21 €;66%;360’686.05 €;100%; -   € 
COMUNIDAD DE MADRID;MADRID;MADRID;82;23.03.17;PXM CALLE HUMILLADERO, 25;XPLUS;URB.COMERCIAL;NACIONAL8;1’043’832.84 €;6%;984’049.15 €;-3%;1’010’513.75 €
COMUNIDAD FORAL DE NAVARRA;NAVARRA;ESTELLA/LIZARRA;258;19.01.18;PXNA ESTELLA - Pº DE LA INMACULADA, 64;ESTANDAR;URB.RESIDENCIAL;NACIONAL6;1’041’642.86 €;22%;808’954.29 €;7%;755’092.60 €
COMUNIDAD DE MADRID;MADRID;MADRID;200;12.12.19;PXM CARRANZA 3;PLUS;URB.COMERCIAL;NACIONAL5;1’036’457.74 €;-1%;1’044’642.69 €;-44%;1’509’399.97 €
CANTABRIA;CANTABRIA;CASTRO-URDIALES;335;10.05.19;PXS CASTRO URDIALES 5-LA RONDA;XPLUS;URB.RESIDENCIAL;NACIONAL5;1’034’519.66 €;5%;980’434.22 €;-12%;1’098’115.50 €
CASTILLA Y LEÓN;PALENCIA;CERVERA DE PISUERGA;306;29.05.15;PXP AGUILAR DE CAMPOO - AVDA. DEL GENERALÍSIMO, 25;ESTANDAR;RURAL;NACIONAL4;1’034’248.40 €;11%;921’279.23 €;-3%;944’541.44 €
COMUNIDAD DE MADRID;MADRID;MADRID;164;27.08.21;PXM DOCTOR ESQUERDO, 93;XPLUS;URB.COMERCIAL;NACIONAL6;1’034’125.04 €;73%;283’819.09 €;100%; -   € 
COMUNIDAD DE MADRID;MADRID;MADRID;309;26.11.14;PXM CALLE ERCILLA, 21;PLUS;URB.RESIDENCIAL;NACIONAL5;1’031’832.13 €;3%;1’004’170.29 €;-21%;1’218’332.20 €
COMUNIDAD DE MADRID;MADRID;MADRID;230;25.05.17;PXM GENERAL PERON2;PLUS;URB.COMERCIAL;NACIONAL5;1’031’130.79 €;0%;1’028’908.49 €;-12%;1’147’404.84 €
COMUNIDAD DE MADRID;MADRID;POZUELO DE ALARCON;290;21.05.21;PXM POZUELO - ANTONIO DÍAZ 6;ESTANDAR;URB.RESIDENCIAL;NACIONAL4;1’030’611.41 €;43%;590’436.94 €;100%; -   € 
REGIÓN DE MURCIA;MURCIA;MURCIA;163;04.01.13;PXMU PINARES, 4;AGRESIVA;URB.COMERCIAL;NACIONAL6;1’027’750.57 €;4%;989’852.18 €;-14%;1’126’012.96 €
COMUNIDAD DE MADRID;MADRID;MADRID;115;21.12.18;PXM CUESTA DE SAN VICENTE, 24;PLUS;URB.COMERCIAL;NACIONAL6;1’022’509.09 €;-9%;1’110’174.68 €;-5%;1’164’929.83 €
ANDALUCÍA;MÁLAGA;RINCON DE LA VICTORIA;195;23.11.18;PXMA FERNANDO CAMINO;ESTANDAR;URB.RESIDENCIAL;NACIONAL6;1’021’980.46 €;9%;926’731.38 €;8%;850’790.33 €
COMUNIDAD FORAL DE NAVARRA;NAVARRA;PAMPLONA/IRUÑA;343;16.05.18;PXNA CALLE TUDELA2, 13;PLUS;URB.RESIDENCIAL;NACIONAL6;1’021’767.89 €;12%;902’307.22 €;4%;867’237.05 €
CATALUÑA;BARCELONA;SITGES;151;15.12.17;PXB SITGES VILANOVA, 27;PLUS;URB.RESIDENCIAL;NACIONAL6;1’021’405.13 €;2%;997’575.09 €;-1%;1’009’180.92 €
CASTILLA Y LEÓN;LEÓN;VILLAFRANCA DEL BIERZO;539;10.10.17;PXLE VILLAF DEL BIERZO 2;PLUS;RURAL;NACIONAL3;1’018’447.80 €;18%;832’621.41 €;-12%;928’901.09 €
COMUNIDAD DE MADRID;MADRID;ALGETE;392;23.08.17;PXM ALGETE  CALLE PALOMARES;AGRESIVA;URB.RESIDENCIAL;NACIONAL4;1’013’848.59 €;10%;909’765.08 €;-10%;1’004’197.25 €
PAÍS VASCO;VIZCAYA;BILBAO;144;25.11.14;PXBI ESTACIÓN RENFE ABANDO INDALECIO PRIETO;XPLUS;CONVENIENCIA;NACIONAL7;1’011’643.43 €;19%;824’016.60 €;7%;766’050.38 €
COMUNIDAD DE MADRID;MADRID;MADRID;99;26.01.18;PXM ALAMEDA2;PLUS;URB.COMERCIAL;NACIONAL7;1’007’604.56 €;19%;811’389.09 €;6%;764’395.18 €
PRINCIPADO DE ASTURIAS;ASTURIAS;OVIEDO;177;28.02.18;PXO ARZOBISPO GUISASOLA, 42;PLUS;URB.RESIDENCIAL;NACIONAL6;1’005’945.08 €;9%;918’255.23 €;-7%;981’391.32 €
ANDALUCÍA;CÓRDOBA;CORDOBA;207;22.10.21;PXCO RODRIGUEZ MARÍN 2, 13;PLUS;URB.RESIDENCIAL;NACIONAL6;1’000’039.32 €;80%;204’562.42 €;100%; -   € 
ANDALUCÍA;SEVILLA;SEVILLA;177;04.05.19;PXSE PUENTE Y PELLÓN2;ESTANDAR;URB.COMERCIAL;NACIONAL7;994’573.29 €;29%;707’909.79 €;-1%;717’787.32 €
CASTILLA Y LEÓN;SALAMANCA;SALAMANCA;170;07.06.19;PXSA AVDA. ALFONSO VI, 9;ESTANDAR;URB.RESIDENCIAL;NACIONAL5;989’487.00 €;11%;880’261.01 €;5%;839’839.19 €
COMUNIDAD FORAL DE NAVARRA;NAVARRA;PAMPLONA/IRUÑA;120;25.10.19;PXNA ESTAFETA II, 1;PLUS;URB.COMERCIAL;NACIONAL7;987’561.71 €;11%;876’607.99 €;3%;849’240.15 €
COMUNIDAD DE MADRID;MADRID;MADRID;269;05.05.21;PXM ANDRES MELLADO, 61;PLUS;URB.RESIDENCIAL;NACIONAL6;986’028.64 €;34%;650’315.88 €;100%; -   € 
PAÍS VASCO;GUIPÚZCOA;IRUN;151;28.09.18;PXSS ALZUKAITZ2;PLUS;URB.RESIDENCIAL;NACIONAL6;985’076.37 €;8%;905’287.16 €;-8%;977’864.02 €
ANDALUCÍA;CÁDIZ;JEREZ DE LA FRONTERA;511;08.06.21;PXCA URB. EL ALMENDRAL;ESTANDAR;URB.RESIDENCIAL;NACIONAL4;983’919.71 €;51%;483’908.92 €;100%; -   € 
ANDALUCÍA;HUELVA;HUELVA;151;22.01.21;PXH ROQUE BARCIA, 7;ESTANDAR;URB.RESIDENCIAL;NACIONAL6;983’033.00 €;26%;732’011.64 €;100%; -   € 
ANDALUCÍA;CÁDIZ;ALGECIRAS;722;19.08.21;PXCA ALGECIRAS - JOSE CARLOS DE LUNA;ESTANDAR;URB.RESIDENCIAL;NACIONAL5;979’372.80 €;66%;331’918.28 €;100%; -   € 
CASTILLA Y LEÓN;VALLADOLID;VALLADOLID;154;18.12.20;PXVA TIRSO DE MOLINA;ESTANDAR;URB.RESIDENCIAL;NACIONAL7;977’764.61 €;18%;799’746.87 €;96%;32’468.90 €
CASTILLA Y LEÓN;LEÓN;LEON;223;27.05.21;PXLE ANCHAIII, 7;PLUS;CONVENIENCIA;NACIONAL6;967’574.35 €;50%;482’135.73 €;100%; -   € 
COMUNIDAD DE MADRID;MADRID;TORRELODONES;325;25.05.21;PXM TORRELODONES - JESUSA LARA, 18;ESTANDAR;RURAL;NACIONAL4;966’804.46 €;43%;549’108.95 €;100%; -   € 
ANDALUCÍA;MÁLAGA;BENALMADENA;286;13.08.19;PXMA BENALMADENA - EROS;PLUS;URB.RESIDENCIAL;NACIONAL5;962’784.37 €;13%;840’918.25 €;-1%;847’850.47 €
LA RIOJA;LA RIOJA;LARDERO;221;26.04.12;PXLO LARDERO;PLUS;URB.RESIDENCIAL;NACIONAL5;961’409.16 €;-5%;1’010’629.48 €;-17%;1’186’249.77 €
PAÍS VASCO;VIZCAYA;ZALLA;157;21.10.16;PXBI HERMANOS MARISTAS-ZALLA;PLUS;URB.RESIDENCIAL;NACIONAL5;951’264.01 €;11%;849’241.49 €;-7%;912’728.35 €
COMUNIDAD DE MADRID;MADRID;MADRID;186;16.07.21;PXM MARQUES DE VIANA, 79;ESTANDAR;URB.RESIDENCIAL;NACIONAL6;947’681.75 €;64%;343’462.20 €;100%; -   € 
ANDALUCÍA;SEVILLA;SEVILLA;342;07.09.21;PXSE AV FELIPE II, 12-14;ESTANDAR;URB.RESIDENCIAL;NACIONAL5;946’411.59 €;64%;338’923.28 €;100%; -   € 
COMUNIDAD DE MADRID;MADRID;MADRID;211;12.04.19;PXM PANAMÁ5 10;PLUS;URB.RESIDENCIAL;NACIONAL4;945’166.89 €;-21%;1’144’547.89 €;-11%;1’269’545.03 €
CASTILLA LA MANCHA;GUADALAJARA;GUADALAJARA;315;08.03.16;PXGU CALLE FERIAL II;ESTANDAR;URB.RESIDENCIAL;NACIONAL5;944’263.33 €;1%;933’044.32 €;-11%;1’038’503.27 €
