COMUNIDAD;PROVINCIA;MUNICIPIO;SUP M2;FECHA APERTURA;TIENDA;TARIFA;ROL;Nivel de surtido;CV 2022;PROG;CV 2021;PROG;CV 2020
ANDALUCÍA;MÁLAGA;VELEZ-MALAGA;693;07.07.21;PXMA TORRE DEL MAR PRINCESA, 6;ESTANDAR;URB.RESIDENCIAL;NACIONAL3;1’747’510.57 €;54%;805’512.47 €;100%; -   € 
COMUNIDAD DE MADRID;MADRID;MADRID;254;30.11.11;PXM BEJAR;ESTANDAR;URB.RESIDENCIAL;NACIONAL5;1’737’097.09 €;6%;1’638’130.15 €;-5%;1’728’115.81 €
ANDALUCÍA;GRANADA;GRANADA;126;28.12.17;PXGR GRAN VÍA DE COLÓN, 11;PLUS;URB.COMERCIAL;NACIONAL6;1’734’675.70 €;24%;1’321’394.54 €;8%;1’219’025.11 €
ANDALUCÍA;GRANADA;MOTRIL;347;03.11.21;PXGR MOTRIL CAPUCHINO, 8;ESTANDAR;URB.RESIDENCIAL;NACIONAL4;1’733’920.86 €;85%;264’613.63 €;100%; -   € 
COMUNIDAD DE MADRID;MADRID;MADRID;296;11.12.20;PXM SAN BERNARDO3, 83;PLUS;URB.COMERCIAL;NACIONAL3;1’733’169.30 €;10%;1’564’489.73 €;95%;75’158.20 €
COMUNIDAD DE MADRID;MADRID;MADRID;554;30.11.21;PXM MARTIN DE LOS HEROS 33;PLUS;URB.RESIDENCIAL;NACIONAL4;1’730’291.18 €;91%;155’936.35 €;100%; -   € 
CASTILLA Y LEÓN;SALAMANCA;SALAMANCA;223;23.11.18;PXSA AVDA. PORTUGAL2, 119;PLUS;URB.RESIDENCIAL;NACIONAL5;1’716’837.94 €;22%;1’344’967.79 €;-5%;1’409’708.83 €
COMUNIDAD DE MADRID;MADRID;MADRID;487;27.04.21;PXM MARQUÉS JURA REAL;ESTANDAR;URB.RESIDENCIAL;NACIONAL3;1’670’816.74 €;40%;1’000’043.50 €;100%; -   € 
ANDALUCÍA;MÁLAGA;MANILVA;443;30.09.21;PXMA SABINILLAS -  AVDA MANILVA, 1;ESTANDAR;URB.RESIDENCIAL;NACIONAL5;1’659’026.09 €;79%;347’356.25 €;100%; -   € 
ANDALUCÍA;MÁLAGA;RINCON DE LA VICTORIA;110;06.09.19;PXMA ESPECERIA, 7;PLUS;CONVENIENCIA;NACIONAL7;1’640’607.86 €;22%;1’281’643.42 €;14%;1’099’549.23 €
COMUNIDAD DE MADRID;MADRID;LOZOYUELA-NAVAS-SIETEIGLESIAS;262;02.02.11;PXM LOZOYUELA;ESTANDAR;RURAL;NACIONAL4;1’637’539.54 €;13%;1’429’960.85 €;-14%;1’629’979.02 €
CASTILLA Y LEÓN;SALAMANCA;SALAMANCA;218;24.02.17;PXSA AVDA. COMUNEROS, 6;ESTANDAR;URB.RESIDENCIAL;NACIONAL5;1’628’325.85 €;7%;1’512’298.27 €;-2%;1’539’022.67 €
ANDALUCÍA;MÁLAGA;RINCON DE LA VICTORIA;456;06.07.21;PXMA CTRA. ALMERÍA, 19-21;ESTANDAR;URB.RESIDENCIAL;NACIONAL4;1’618’048.42 €;56%;717’815.48 €;100%; -   € 
COMUNIDAD DE MADRID;MADRID;CERCEDILLA;525;02.09.21;PXM CERCEDILLA MARÍA MINGUEZ, 7;ESTANDAR;URB.RESIDENCIAL;NACIONAL4;1’612’868.05 €;69%;493’663.19 €;100%; -   € 
ANDALUCÍA;MÁLAGA;RINCON DE LA VICTORIA;352;22.12.21;PXMA ATARAZANAS;PLUS;URB.RESIDENCIAL;NACIONAL5;1’609’681.87 €;97%;44’092.22 €;100%; -   € 
COMUNIDAD DE MADRID;MADRID;MADRID;244;11.09.20;PXM AGASTIA3 100;PLUS;URB.RESIDENCIAL;NACIONAL5;1’597’767.22 €;7%;1’489’748.38 €;66%;507’348.58 €
ANDALUCÍA;GRANADA;GRANADA;253;06.09.17;PXGR SAN JUAN DE DIOS;ESTANDAR;URB.COMERCIAL;NACIONAL5;1’597’236.63 €;24%;1’215’988.47 €;2%;1’191’211.05 €
CATALUÑA;BARCELONA;BADALONA;294;08.03.16;PXB BADALONA - MARTI I PUJOL2, 27;PLUS;URB.RESIDENCIAL;NACIONAL5;1’584’725.38 €;7%;1’473’229.76 €;-5%;1’544’042.38 €
ANDALUCÍA;GRANADA;GRANADA;415;28.09.21;PXGR PLAZA DE LOS CAMPOS 4;ESTANDAR;URB.RESIDENCIAL;NACIONAL5;1’575’849.53 €;75%;394’657.31 €;100%; -   € 
COMUNIDAD DE MADRID;MADRID;MADRID;279;25.05.21;PXM ARTURO SORIA, 310;PLUS;URB.RESIDENCIAL;NACIONAL4;1’562’964.63 €;43%;897’983.51 €;100%; -   € 
ANDALUCÍA;SEVILLA;SEVILLA;359;10.06.21;PXSE AVDA DEL GRECO, 14;ESTANDAR;URB.RESIDENCIAL;NACIONAL4;1’557’319.59 €;50%;777’293.21 €;100%; -   € 
COMUNIDAD DE MADRID;MADRID;MADRID;144;01.06.18;PXM HORTALEZA2, 65;PLUS;URB.COMERCIAL;NACIONAL6;1’548’083.79 €;12%;1’365’264.53 €;0%;1’362’524.31 €
CATALUÑA;BARCELONA;BARCELONA;303;12.04.18;PXB CAMELIAS, 10;PLUS;URB.RESIDENCIAL;NACIONAL4;1’547’387.85 €;15%;1’312’497.79 €;-11%;1’458’619.18 €
CATALUÑA;BARCELONA;BARCELONA;296;29.06.11;PXB MARINA;XPLUS;URB.COMERCIAL;NACIONAL6;1’547’355.59 €;25%;1’156’849.46 €;-29%;1’488’558.17 €
COMUNIDAD DE MADRID ;MADRID;MADRID;332;01.07.21;PXM SANTA VIRGILIA, 6;ESTANDAR;URB.RESIDENCIAL;NACIONAL4;1’545’837.29 €;57%;665’517.77 €;100%; -   € 
COMUNIDAD DE MADRID;MADRID;MADRID;400;12.05.21;PXM RAFAEL CALVO, 18;ESTANDAR;URB.RESIDENCIAL;NACIONAL4;1’536’879.57 €;48%;801’285.98 €;100%; -   € 
COMUNIDAD VALENCIANA;VALENCIA;VALENCIA;162;15.12.17;PXV SERRANOS, 10;PLUS;URB.COMERCIAL;NACIONAL7;1’535’258.30 €;19%;1’236’443.33 €;15%;1’054’035.26 €
COMUNIDAD DE MADRID;MADRID;MADRID;341;20.07.21;PXM BADAJOZ, 13;PLUS;URB.RESIDENCIAL;NACIONAL5;1’533’055.75 €;61%;602’563.06 €;100%; -   € 
ANDALUCÍA;MÁLAGA;TORREMOLINOS;403;17.12.21;PXMA TORREMOLINOS CASABLANCA;ESTANDAR;URB.RESIDENCIAL;NACIONAL5;1’531’352.80 €;96%;56’325.09 €;100%; -   € 
CASTILLA Y LEÓN;SEGOVIA;CANTALEJO;452;17.03.10;PXSG CANTALEJO;ESTANDAR;RURAL;NACIONAL3;1’525’293.32 €;13%;1’333’219.99 €;-8%;1’445’136.12 €
PAÍS VASCO;GUIPÚZCOA;ASTIGARRAGA;121;03.04.14;PXSS AVDA. ZARAUTZ, 88;PLUS;URB.RESIDENCIAL;NACIONAL7;1’525’225.76 €;9%;1’388’346.78 €;-3%;1’434’500.01 €
ANDALUCÍA;GRANADA;GRANADA;231;20.08.21;PXGR ALHONDIGA, 6;ESTANDAR;URB.RESIDENCIAL;NACIONAL5;1’523’509.08 €;70%;463’901.86 €;100%; -   € 
COMUNIDAD DE MADRID;MADRID;MADRID;111;14.05.14;PXM CALLE LEON 4;XPLUS;URB.COMERCIAL;NACIONAL7;1’523’203.83 €;13%;1’325’599.28 €;1%;1’309’805.06 €
ANDALUCÍA;MÁLAGA;RINCON DE LA VICTORIA;559;22.06.21;PXMA TOMÁS ESCALONILLA, 4;ESTANDAR;URB.RESIDENCIAL;NACIONAL4;1’517’046.51 €;48%;791’245.51 €;100%; -   € 
COMUNIDAD DE MADRID;MADRID;MADRID;524;13.07.21;PXM CARTAGENA, 20;ESTANDAR;URB.RESIDENCIAL;NACIONAL4;1’513’059.21 €;64%;550’210.01 €;100%; -   € 
COMUNIDAD DE MADRID;MADRID;MADRID;320;10.02.17;PXM CALLE CASTELLÓ3;XPLUS;URB.COMERCIAL;NACIONAL4;1’505’963.78 €;12%;1’318’932.50 €;2%;1’293’042.15 €
COMUNIDAD DE MADRID;MADRID;MADRID;145;20.12.17;PXM PRINCIPE3;XPLUS;URB.COMERCIAL;NACIONAL6;1’484’024.46 €;24%;1’130’186.36 €;13%;983’266.86 €
COMUNIDAD DE MADRID;MADRID;MORATA DE TAJUÑA;274;29.06.14;PXM MORATA DE TAJUÑA 2;ESTANDAR;RURAL;NACIONAL3;1’481’501.05 €;6%;1’397’098.46 €;-15%;1’604’606.54 €
ANDALUCÍA;GRANADA;GRANADA;336;19.05.21;PXGR EMPERATRIZ EUGENIA, 12;ESTANDAR;URB.RESIDENCIAL;NACIONAL5;1’476’036.26 €;51%;728’628.44 €;100%; -   € 
CASTILLA Y LEÓN;SALAMANCA;SALAMANCA;180;22.04.20;PXSA FILIBERTO VILLALOBOS;PLUS;URB.RESIDENCIAL;NACIONAL5;1’471’458.52 €;25%;1’109’024.07 €;51%;543’899.14 €
COMUNIDAD VALENCIANA;VALENCIA;VALENCIA;224;23.05.19;PXV AVDA. FRANCIA, 19;ESTANDAR;URB.RESIDENCIAL;NACIONAL5;1’459’542.02 €;16%;1’228’850.05 €;8%;1’132’068.85 €
ANDALUCÍA;MÁLAGA;RINCON DE LA VICTORIA;325;01.07.21;PXMA RINCÓN - RONDA, S/N;PLUS;URB.RESIDENCIAL;NACIONAL4;1’456’799.87 €;51%;719’583.84 €;100%; -   € 
COMUNIDAD DE MADRID;MADRID;MADRID;195;15.09.17;PXM SAN JOAQUÍN, 8;PLUS;URB.RESIDENCIAL;NACIONAL6;1’455’870.60 €;2%;1’431’673.97 €;-13%;1’617’813.46 €
COMUNIDAD VALENCIANA;VALENCIA;VALENCIA;209;21.07.17;PXV MÚSICO PEYDRÓ, 13;PLUS;URB.COMERCIAL;NACIONAL5;1’453’377.10 €;13%;1’262’606.81 €;12%;1’107’775.87 €
ANDALUCÍA;SEVILLA;SEVILLA;169;16.02.17;PXSE HARINAS, 7-9;ESTANDAR;URB.COMERCIAL;NACIONAL6;1’449’857.55 €;24%;1’102’284.90 €;15%;942’064.42 €
