SUP M2;FECHA APERTURA;TIENDA;C. POSTAL;MUNICIPIO;PROVINCIA;COMUNIDAD;TARIFA;ROL;Nivel de surtido;CV 2022;CV 2021
341;20.07.21;PXM BADAJOZ, 13;28027;MADRID;MADRID;COMUNIDAD DE MADRID;PLUS;URB.RESIDENCIAL;NACIONAL5;1’533’055.75 €;602’563.06 €
403;17.12.21;PXMA TORREMOLINOS CASABLANCA;29620;TORREMOLINOS ;MALAGA;ANDALUCÍA;ESTANDAR;URB.RESIDENCIAL;NACIONAL5;1’531’352.80 €;56’325.09 €
452;17.03.10;PXSG CANTALEJO;40320;CANTALEJO;SEGOVIA;CASTILLA Y LEÓN;ESTANDAR;RURAL;NACIONAL3;1’525’293.32 €;1’333’219.99 €
121;03.04.14;PXSS AVDA. ZARAUTZ, 88;20014;SAN SEBASTIÁN;GUIPÚZCOA;PAÍS VASCO;PLUS;URB.RESIDENCIAL;NACIONAL7;1’525’225.76 €;1’388’346.78 €
231;20.08.21;PXGR ALHONDIGA, 6;18001;GRANADA;GRANADA;ANDALUCÍA;ESTANDAR;URB.RESIDENCIAL;NACIONAL5;1’523’509.08 €;463’901.86 €
111;14.05.14;PXM CALLE LEON 4;28014;MADRID;MADRID;COMUNIDAD DE MADRID;XPLUS;URB.COMERCIAL;NACIONAL7;1’523’203.83 €;1’325’599.28 €
559;22.06.21;PXMA TOMÁS ESCALONILLA, 4;29010;MALAGA;MALAGA;ANDALUCÍA;ESTANDAR;URB.RESIDENCIAL;NACIONAL4;1’517’046.51 €;791’245.51 €
524;13.07.21;PXM CARTAGENA, 20;28028;MADRID;MADRID;COMUNIDAD DE MADRID;ESTANDAR;URB.RESIDENCIAL;NACIONAL4;1’513’059.21 €;550’210.01 €
320;10.02.17;PXM CALLE CASTELLÓ,36;28001;MADRID;MADRID;COMUNIDAD DE MADRID;XPLUS;URB.COMERCIAL;NACIONAL4;1’505’963.78 €;1’318’932.50 €
145;20.12.17;PXM PRINCIPE3;28012;MADRID;MADRID;COMUNIDAD DE MADRID;XPLUS;URB.COMERCIAL;NACIONAL6;1’484’024.46 €;1’130’186.36 €
274;29.06.14;PXM MORATA DE TAJUÑA 2;28530;MORATA DE TAJUÑA ;MADRID;COMUNIDAD DE MADRID;ESTANDAR;RURAL;NACIONAL3;1’481’501.05 €;1’397’098.46 €
336;19.05.21;PXGR EMPERATRIZ EUGENIA, 12;18002;GRANADA;GRANADA;ANDALUCÍA;ESTANDAR;URB.RESIDENCIAL;NACIONAL5;1’476’036.26 €;728’628.44 €
180;22.04.20;PXSA FILIBERTO VILLALOBOS;37007;SALAMANCA;SALAMANCA;CASTILLA Y LEÓN;PLUS;URB.RESIDENCIAL;NACIONAL5;1’471’458.52 €;1’109’024.07 €
224;23.05.19;PXV AVDA. FRANCIA, 19;46023;VALENCIA;VALENCIA;COMUNIDAD VALENCIANA;ESTANDAR;URB.RESIDENCIAL;NACIONAL5;1’459’542.02 €;1’228’850.05 €
325;01.07.21;PXMA RINCÓN - RONDA, S/N;29730;RINCONDE LA VICTORIA;MALAGA;ANDALUCÍA;PLUS;URB.RESIDENCIAL;NACIONAL4;1’456’799.87 €;719’583.84 €
195;15.09.17;PXM SAN JOAQUÍN, 8;28004;MADRID;MADRID;COMUNIDAD DE MADRID;PLUS;URB.RESIDENCIAL;NACIONAL6;1’455’870.60 €;1’431’673.97 €
209;21.07.17;PXV MÚSICO PEYDRÓ, 13;46001;VALENCIA;VALENCIA;COMUNIDAD VALENCIANA;PLUS;URB.COMERCIAL;NACIONAL5;1’453’377.10 €;1’262’606.81 €
169;16.02.17;PXSE HARINAS, 7-9;41001;SEVILLA;SEVILLA;ANDALUCÍA;ESTANDAR;URB.COMERCIAL;NACIONAL6;1’449’857.55 €;1’102’284.90 €
373;17.06.21;PXMA CERVANTES, 5;29016;MALAGA;MALAGA;ANDALUCÍA;ESTANDAR;URB.RESIDENCIAL;NACIONAL4;1’449’548.45 €;670’911.10 €
239;30.12.14;PXBI JARDINES;48005;BILBAO;VIZCAYA;PAÍS VASCO;PLUS;URB.COMERCIAL;NACIONAL5;1’437’395.40 €;1’302’383.76 €
434;24.06.21;PXMA PRINCIPAL DEL CANDADO, 2;29018;MALAGA;MALAGA;ANDALUCÍA;ESTANDAR;URB.RESIDENCIAL;NACIONAL4;1’437’307.63 €;686’610.65 €
643;14.07.21;PXMA VELEZ CAMINO VIEJO DE MALAGA, 27;29700;VELEZ MÁLAGA;MALAGA;ANDALUCÍA;ESTANDAR;URB.RESIDENCIAL;NACIONAL3;1’430’014.77 €;626’920.15 €
727;03.07.20;PXCU LAS PEDROÑERAS 3;16660;LAS PEDROÑERAS;CUENCA;CASTILLA LA MANCHA;ESTANDAR;RURAL;NACIONAL4;1’418’068.42 €;1’246’222.92 €
673;20.11.19;PXNA CINTRUEÑIGO - VALLE DE LA ULZAMA;31592;CINTRUENIGO;NAVARRA;COMUNIDAD FORAL DE NAVARRA;ESTANDAR;RURAL;NACIONAL3;1’414’406.34 €;1’207’075.45 €
159;20.09.12;PXM SANTA SUSANA II;28033;MADRID;MADRID;COMUNIDAD DE MADRID;ESTANDAR;URB.RESIDENCIAL;NACIONAL5;1’413’114.89 €;1’293’009.88 €
200;02.09.16;PXH PLAZA DEL PUNTO;21003;HUELVA;HUELVA;ANDALUCÍA;ESTANDAR;URB.COMERCIAL;NACIONAL6;1’412’330.67 €;1’268’953.46 €
313;03.07.20;PXH MOGUER-MAZAGÓN;21130;MAZAGÓN-MOGUER;HUELVA;ANDALUCÍA;ESTANDAR;URB.RESIDENCIAL;NACIONAL5;1’406’311.49 €;1’261’434.72 €
204;09.06.20;PXTO CALLE TRINIDAD;45002;TOLEDO;TOLEDO;CASTILLA LA MANCHA;PLUS;URB.COMERCIAL;NACIONAL6;1’402’750.23 €;1’141’709.44 €
156;29.05.20;PXMA ALAMEDA PRINCIPAL 2;29001;MÁLAGA;MÁLAGA;ANDALUCÍA;ESTANDAR;URB.COMERCIAL;NACIONAL6;1’396’007.61 €;1’029’566.45 €
635;17.08.21;PXCA CHICLANA CTRA. MEDINA, 6;11130;CHICLANA;CADIZ;ANDALUCÍA;ESTANDAR;URB.RESIDENCIAL;NACIONAL3;1’391’893.51 €;503’096.36 €
385;27.04.21;PXM INFANTA MARÍA TERESA, 12;28016;MADRID;MADRID;COMUNIDAD DE MADRID;ESTANDAR;URB.RESIDENCIAL;NACIONAL4;1’389’470.28 €;754’964.00 €
168;12.04.19;PXSS CALLE URBIETA2, 44;20006;SAN SEBASTIÁN;GUIPÚZCOA;PAÍS VASCO;PLUS;URB.COMERCIAL;NACIONAL6;1’385’515.12 €;1’202’127.44 €
116;18.12.14;PXA PLAZA DEL AYUNTAMIENTO;3002;ALICANTE;ALICANTE;COMUNIDAD VALENCIANA;XPLUS;URB.COMERCIAL;NACIONAL7;1’384’069.98 €;1’008’819.35 €
153;30.04.21;PXMA S P ALCANTARA;29670;MARBELLA;MÁLAGA;ANDALUCÍA;PLUS;URB.RESIDENCIAL;NACIONAL6;1’381’629.64 €;671’045.72 €
182;25.04.14;PXA EXPLANADA DE ESPAÑA;3001;ALICANTE;ALICANTE;COMUNIDAD VALENCIANA;ESTANDAR;URB.RESIDENCIAL;NACIONAL5;1’370’357.50 €;943’530.24 €
390;03.01.15;PXB VILAFRANCA DEL PENEDÉS;8720;VILLAFRANCA DEL PENEDÉS;BARCELONA;CATALUÑA;PLUS;URB.RESIDENCIAL;NACIONAL4;1’367’097.65 €;1’119’787.15 €
282;19.07.19;PXBI BARAKALDO  IBARRA, 19;48901;BARAKALDO;VIZCAYA;PAÍS VASCO;ESTANDAR;URB.RESIDENCIAL;NACIONAL4;1’365’755.71 €;1’277’420.29 €
223;19.02.21;PXSA GRAN VÍA V;37001;SALAMANCA;SALAMANCA;CASTILLA Y LEÓN;PLUS;URB.RESIDENCIAL;NACIONAL5;1’346’512.43 €;1’060’782.47 €
249;21.08.15;PXM RAMIREZ DE PRADO, 8;28045;MADRID;MADRID;COMUNIDAD DE MADRID;ESTANDAR;URB.RESIDENCIAL;NACIONAL5;1’345’917.06 €;1’209’033.41 €
405;17.08.21;PXCA ALGECIRAS JOSE SANTA CANA, 5;11206;ALGECIRAS;CADIZ;ANDALUCÍA;ESTANDAR;URB.RESIDENCIAL;NACIONAL5;1’342’489.13 €;418’922.30 €
223;20.12.12;PXM SOTO DEL REAL;28791;SOTO DEL REAL;MADRID;COMUNIDAD DE MADRID;ESTANDAR;URB.RESIDENCIAL;NACIONAL6;1’341’153.35 €;1’146’395.36 €
334;22.06.21;PXSE FORJADORES, 8;41015;SEVILLA;SEVILLA;ANDALUCÍA;ESTANDAR;URB.RESIDENCIAL;NACIONAL5;1’340’833.63 €;607’415.00 €
465;20.08.08;PXM ANDRÉS MELLADO;28015;MADRID;MADRID;COMUNIDAD DE MADRID;PLUS;URB.RESIDENCIAL;NACIONAL4;1’336’838.66 €;1’239’394.76 €
140;29.01.21;PXM HORTALEZA IV, 17;28004;MADRID;MADRID;COMUNIDAD DE MADRID;PLUS;URB.COMERCIAL;NACIONAL6;1’328’970.63 €;1’063’240.62 €
249;08.06.16;PXM NUÑEZ DE MORGADO 2;28036;MADRID;MADRID;COMUNIDAD DE MADRID;PLUS;URB.RESIDENCIAL;NACIONAL4;1’310’682.91 €;1’291’489.99 €
394;29.09.15;PXSA CARBAJOSA DE LA SAGRADA;37188;CARBAJOSA DE LA SAGRADA;SALAMANCA;CASTILLA Y LEÓN;ESTANDAR;RURAL;NACIONAL4;1’294’021.90 €;1’408’911.84 €
270;26.10.21;PXCA ROTA SAN RAFAEL, 14;11520;ROTA;CADIZ;ANDALUCÍA;ESTANDAR;URB.RESIDENCIAL;NACIONAL5;1’293’006.26 €;159’028.68 €
366;21.06.13;PXCC JARANDILLA DE LA VERA;10450;JARANDILLA DE LA VERA;CÁCERES;EXTREMADURA;ESTANDAR;RURAL;NACIONAL4;1’291’269.12 €;1’139’760.87 €
395;27.06.14;PXMA RINCÓN DE LA VICTORIA - AVDA. MEDITERRANEO, 133;2930;RINCÓN DE LA VICTORIA;MÁLAGA;ANDALUCÍA;PLUS;URB.RESIDENCIAL;NACIONAL4;1’290’844.65 €;1’247’697.04 €
220;26.11.15;PXSE AMOR DE DIOS, 45;41002;SEVILLA;SEVILLA;ANDALUCÍA;ESTANDAR;URB.COMERCIAL;NACIONAL5;1’289’894.77 €;1’069’426.56 €
687;16.09.21;PXCC MORALEJA - LUSITANIA, 51;10840;MORALEJA ;CACERES;EXTREMADURA;AGRESIVA;URB.RESIDENCIAL;NACIONAL4;1’287’705.99 €;337’859.07 €
336;16.04.20;PXZA ALCAÑICES - ESTACADA 3;49500;ALCAÑICES;ZAMORA;CASTILLA Y LEÓN;ESTANDAR;RURAL;NACIONAL3;1’286’341.19 €;1’135’481.21 €
729;13.07.21;PXMA CARLOS HAYA, 60;29010;MALAGA;MALAGA;ANDALUCÍA;ESTANDAR;URB.RESIDENCIAL;NACIONAL4;1’285’736.50 €;532’113.91 €
156;09.06.21;PXM ORTEGA Y GASSET 3;28006;MADRID;MADRID;COMUNIDAD DE MADRID;PLUS;URB.COMERCIAL;NACIONAL6;1’278’443.05 €;648’872.65 €
471;05.05.21;PXM GALILEO, 26;28015;MADRID;MADRID;COMUNIDAD DE MADRID;PLUS;URB.RESIDENCIAL;NACIONAL4;1’270’062.82 €;754’132.87 €
161;04.09.12;PXM JOSE DEL HIERRO, 44;28027;MADRID;MADRID;COMUNIDAD DE MADRID;ESTANDAR;URB.RESIDENCIAL;NACIONAL5;1’266’830.81 €;1’154’580.95 €
206;17.07.15;PXM ANTONIO LOPEZ III;28019;MADRID;MADRID;COMUNIDAD DE MADRID;PLUS;URB.RESIDENCIAL;NACIONAL5;1’264’930.48 €;1’283’788.41 €
680;26.08.21;PXMA CAMINO DE LOS GUINDOS, 8;29004;MALAGA;MALAGA;ANDALUCÍA;ESTANDAR;URB.RESIDENCIAL;NACIONAL3;1’262’065.13 €;429’638.55 €
197;17.10.14;PXV CALLE AVELLANAS, 14;46003;VALENCIA;VALENCIA;COMUNIDAD VALENCIANA;PLUS;URB.COMERCIAL;NACIONAL5;1’258’124.80 €;1’070’640.75 €
527;27.11.17;PXPM GREMI TINTORERS4;7011;MALLORCA;PALMA DE MALLORCA;ISLAS BALEARES;ESTANDAR;URB.RESIDENCIAL;NACIONAL4;1’256’765.79 €;1’248’854.29 €
196;05.02.21;PXNA PAMPLONA CALLE CATALUÑA, 4;31006;PAMPLONA;NAVARRA;COMUNIDAD FORAL DE NAVARRA;PLUS;URB.RESIDENCIAL;NACIONAL6;1’251’876.22 €;1’001’410.62 €
290;29.05.15;PXSA VITIGUDINO;37210;VITIGUDINO;SALAMANCA;CASTILLA Y LEÓN;ESTANDAR;RURAL;NACIONAL4;1’249’965.88 €;1’046’711.85 €
141;04.09.15;PXMU PUERTAS DE MURCIA, 8;30201;CARTAGENA;MURCIA;REGIÓN DE MURCIA;PLUS;URB.COMERCIAL;NACIONAL6;1’248’575.49 €;1’085’523.86 €
233;16.12.16;PXCA  BUENOS AIRES, 9;11003;CÁDIZ;CÁDIZ;ANDALUCÍA;ESTANDAR;URB.RESIDENCIAL;NACIONAL5;1’247’985.57 €;1’021’118.14 €
263;01.12.15;PXVA ALDEAMAYOR DE SAN MARTIN;47162;ALDEAMAYOR DE SAN MARTÍN;VALLADOLID;CASTILLA Y LEÓN;ESTANDAR;RURAL;NACIONAL4;1’239’789.82 €;1’085’158.50 €
544;19.10.21;PXSE EDUARDO DATO, 22;41018;SEVILLA;SEVILLA;ANDALUCÍA;ESTANDAR;URB.RESIDENCIAL;NACIONAL4;1’239’342.16 €;265’521.46 €
319;04.05.19;PXM P G MARTINEZ CAMPOS3, 24;28010;MADRID;MADRID;COMUNIDAD DE MADRID;XPLUS;URB.COMERCIAL;NACIONAL4;1’231’813.90 €;1’159’943.25 €
213;07.10.16;PXLO VILLAMEDIANA - HERMESINDA;26142;VILLAMEDIANA DE IREGUA;LA RIOJA;LA RIOJA;PLUS;URB.RESIDENCIAL;NACIONAL5;1’231’231.81 €;1’345’707.46 €
327;23.02.11;PXSO SAN LEONARDO DE YAGÜE;42140;SAN LEONARDO DE YAGÜE;SORIA;CASTILLA Y LEÓN;ESTANDAR;RURAL;NACIONAL4;1’231’144.78 €;1’098’861.11 €
309;20.12.13;PXVI OION ESTIBALIZ;1320;OION;ÁLAVA;PAÍS VASCO;PLUS;URB.RESIDENCIAL;NACIONAL5;1’228’338.08 €;1’339’958.85 €
293;30.03.17;PXLE CARRIZO DE LA RIBERA;24270;CARRIZO DE LA RIBERA;LEÓN ;CASTILLA Y LEÓN;ESTANDAR;RURAL;NACIONAL5;1’225’174.25 €;1’067’211.03 €
139;28.05.14;PXM JUAN DE AUSTRIA, 13;28010;MADRID;MADRID;COMUNIDAD DE MADRID;ESTANDAR;URB.RESIDENCIAL;NACIONAL6;1’218’127.27 €;1’170’522.05 €
428;13.03.20;PXZA CAMARZANA DE TERA;49332;CAMARZANA DE TERA;ZAMORA;CASTILLA Y LEÓN;ESTANDAR;RURAL;NACIONAL3;1’217’323.14 €;1’042’454.42 €
164;26.04.19;PXSS IBARRA EUSKAL HERRIA2, 17;20400;IBARRA;GUIPÚZCOA;PAÍS VASCO;PLUS;URB.RESIDENCIAL;NACIONAL6;1’215’518.39 €;1’178’397.90 €
296;21.05.19;PXCA AVDA. DE LA PAZ;11500;PUERTO DE SANTA MARÍA;CÁDIZ;ANDALUCÍA;PLUS;URB.RESIDENCIAL;NACIONAL5;1’212’368.71 €;1’177’826.88 €
150;30.11.21;PXV MARQUES DE SOTELO, 4;46002;VALENCIA ;VALENCIA ;COMUNIDAD VALENCIANA;XPLUS;URB.COMERCIAL;NACIONAL6;1’210’706.36 €;68’782.03 €
150;29.11.19;PXSA RUA MAYOR 4;37002;SALAMANCA;SALAMANCA;CASTILLA Y LEÓN;XPLUS;URB.COMERCIAL;NACIONAL5;1’210’244.38 €;623’347.16 €
394;02.03.17;PXTE PASEO DEL OVALO 8;44001;TERUEL;TERUEL;ARAGÓN;PLUS;URB.RESIDENCIAL;NACIONAL4;1’204’424.58 €;1’034’242.56 €
542;15.09.21;PXMA PSO DE LOS TILOS, 53;29006;MALAGA;MALAGA;ANDALUCÍA;ESTANDAR;URB.RESIDENCIAL;NACIONAL4;1’186’417.14 €;336’508.76 €
